Water level statistics - no_pressure
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,5.46,4.8686355960693355,2006-02-04 17:30:00+00:00,2006-02-04 17:30:00+00:00,-0.19641680787042323,0.23328610400757072,0.32380284445243651,0.083764728766929156,0.95790092992284226,0.9665583713070518,3.4575694444444443,3.2611526365740211,0.88945441808118297,0.88455547214200736
Victoria,3.4400000000000004,2.7324004056930544,2006-02-04 14:30:00+00:00,2006-02-05 15:30:00+00:00,-0.26871275307335207,0.27381195086194154,0.35748773670224843,0.19386068295704093,0.89838287128230943,0.87695446127914434,2.1818055555555551,1.9130928024822036,0.535497111696975,0.46455489204903455
PatriciaBay,4.25,3.4797458222427369,2006-02-04 16:30:00+00:00,2006-02-03 16:30:00+00:00,-0.23771528607871983,0.25877189468822398,0.34608530098221918,0.13049941382445104,0.93476624754972981,0.93054104584239739,2.6008333333333331,2.3631180472546136,0.69627780215785839,0.60526620137153642
CampbellRiver,5.0999999999999996,4.5233981216125487,2006-02-04 16:30:00+00:00,2006-02-03 16:30:00+00:00,-0.27648122588730195,0.32012908527602435,0.41346438243439376,0.15137511114854316,0.92789063085961432,0.93497984282152014,3.201597222222222,2.9251159963349207,0.7901576962811182,0.82101238984968505
Analysis period,2006-02-03 00:00:00+00:00,2006-02-06 00:00:00+00:00
 
Surge statistics - no_pressure
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,0.82289100000000004,0.0783418,2006-02-04 14:30:00+00:00,2006-02-05 00:30:00+00:00,-0.24387535740491184,0.25175126612437204,0.34801115677802991,0.89525640916833105,0.61187063552163112,0.48434197522208033,0.27314509722222241,0.0292697,0.26238894334984375,0.0242972
Victoria,0.66211149999999996,0.0179472,2006-02-04 17:30:00+00:00,2006-02-04 21:30:00+00:00,-0.23126859440143122,0.23898816447138005,0.32433642582327588,1.0214523567618798,-0.33794658329340499,0.45271040709922605,0.23535482638888894,0.00408623,0.22499549394895546,0.00683407
PatriciaBay,0.74053049999999976,0.0191337,2006-02-04 15:30:00+00:00,2006-02-05 03:30:00+00:00,-0.22317246086615883,0.2408351681155354,0.32847295396119097,1.0056687338857759,-0.076483436880713115,0.45282960333557187,0.2232080277777776,3.55669e-05,0.24033539456232783,0.00741209
CampbellRiver,0.94508250000000005,0.0312154,2006-02-04 12:30:00+00:00,2006-02-04 16:30:00+00:00,-0.2916497453238337,0.29537328997025569,0.39646918412408677,0.97243131605690725,0.48383185015641367,0.45566809669061414,0.30338402083333355,0.0117343,0.27234737857208463,0.00800214
Analysis period,2006-02-03 00:00:00+00:00,2006-02-06 00:00:00+00:00
 
Water level statistics - ssh_only
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,5.46,5.5779032123413081,2006-02-04 17:30:00+00:00,2006-02-04 17:30:00+00:00,0.064900827620620882,0.087903610027036214,0.10641831359126509,0.0089906179481329795,0.99562650796264329,0.99646074532165907,3.4575694444444443,3.5224702720650654,0.88945441808118297,0.89998237572916162
Victoria,3.4400000000000004,3.4473241835556028,2006-02-04 14:30:00+00:00,2006-02-04 15:30:00+00:00,0.014489120449003249,0.069418241541786316,0.091614325101647451,0.028537212631236292,0.98570615734396716,0.99243478356248327,2.1818055555555551,2.1962946760045585,0.535497111696975,0.52120088173334667
PatriciaBay,4.25,4.2177408217163084,2006-02-04 16:30:00+00:00,2006-02-04 17:30:00+00:00,0.051203320845276741,0.084492644808932288,0.1146176697453123,0.021690119434672785,0.99156567529628603,0.99264696066344971,2.6008333333333331,2.6520366541786102,0.69627780215785839,0.64170250097747528
CampbellRiver,5.0999999999999996,5.2116885291137693,2006-02-04 16:30:00+00:00,2006-02-04 17:30:00+00:00,-0.0044355990777918903,0.13016421469992151,0.16325317496087988,0.042655496692860888,0.98117844798605225,0.98980271844287282,3.201597222222222,3.1971616231444306,0.7901576962811182,0.83317058342726447
Analysis period,2006-02-03 00:00:00+00:00,2006-02-06 00:00:00+00:00
 
Surge statistics - ssh_only
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,0.82289100000000004,0.796723,2006-02-04 14:30:00+00:00,2006-02-04 18:30:00+00:00,0.017442278132213315,0.036024458404925061,0.048468359473002029,0.029702388786518284,0.98504093636300893,0.99131002428456572,0.27314509722222241,0.290587,0.26238894334984375,0.259208
Victoria,0.66211149999999996,0.770324,2006-02-04 17:30:00+00:00,2006-02-04 15:30:00+00:00,0.051933279916428793,0.062408951002296452,0.078205537064972339,0.06753930695062417,0.97187571403994399,0.97217877197216263,0.23535482638888894,0.287288,0.22499549394895546,0.243398
PatriciaBay,0.74053049999999976,0.786623,2006-02-04 15:30:00+00:00,2006-02-04 17:30:00+00:00,0.065746147299601168,0.06873141925318392,0.083486788421402128,0.045835135931192261,0.9791166644007504,0.97143083386669749,0.2232080277777776,0.288954,0.24033539456232783,0.251447
CampbellRiver,0.94508250000000005,0.763726,2006-02-04 12:30:00+00:00,2006-02-04 18:30:00+00:00,-0.019604118423778356,0.053340173335603473,0.077944135652904645,0.076725487227377542,0.96315306837354253,0.97686677992447146,0.30338402083333355,0.28378,0.27234737857208463,0.244269
Analysis period,2006-02-03 00:00:00+00:00,2006-02-06 00:00:00+00:00
 
Water level statistics - weather_only
