Surge statistics
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,0.82289100000000004,0.907574,2006-02-04 14:30:00+00:00,2006-02-04 20:30:00+00:00,0.09924169824640601,0.10435361453117913,0.11571518756332158,0.051433478723597208,0.97491611426137692,0.95342961267930959,0.27314509722222241,0.372387,0.26238894334984375,0.267229
Victoria,0.66211149999999996,0.735894,2006-02-04 17:30:00+00:00,2006-02-04 15:30:00+00:00,0.057929185216474909,0.068595957413848774,0.085550975249021624,0.078288150346769267,0.96179780788152591,0.96467590155789751,0.23535482638888894,0.293284,0.22499549394895546,0.229409
PatriciaBay,0.74053049999999976,0.800462,2006-02-04 15:30:00+00:00,2006-02-04 20:30:00+00:00,0.10397646997610499,0.10545235474024649,0.11908979398688471,0.058365796590652892,0.97073643952209865,0.94074844009391512,0.2232080277777776,0.327185,0.24033539456232783,0.239638
CampbellRiver,0.94508250000000005,0.855975,2006-02-04 12:30:00+00:00,2006-02-04 18:30:00+00:00,0.055650769875867291,0.078510601877685868,0.088609531162507277,0.064101961091637433,0.9686177783155302,0.97121197491097,0.30338402083333355,0.359035,0.27234737857208463,0.250676
Analysis period,2006-02-03 00:00:00+00:00,2006-02-06 00:00:00+00:00
