Surge statistics
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,0.84444649999999988,0.924627,2006-02-04 15:30:00+00:00,2006-02-04 20:30:00+00:00,0.075546124479419788,0.078343279196653209,0.094015131005412769,0.046499982519701583,0.97756295501802315,0.96827220995638574,0.31807439583333319,0.393621,0.25951274074626562,0.265665
Victoria,0.69971849999999991,0.757265,2006-02-04 17:30:00+00:00,2006-02-04 15:30:00+00:00,0.038364775072859292,0.053888298835039122,0.069143321159097104,0.066921266681136987,0.96753360626528218,0.97621029656958902,0.27553542361111122,0.3139,0.22236301797159333,0.227409
PatriciaBay,0.78121350000000001,0.81859,2006-02-04 15:30:00+00:00,2006-02-04 20:30:00+00:00,0.072689518316023896,0.074859187448812869,0.092218089823265612,0.056564350747392515,0.97164029141108077,0.96294750776527316,0.274565,0.347255,0.23860754983330137,0.23792
CampbellRiver,0.87587199999999998,0.881207,2006-02-04 12:30:00+00:00,2006-02-04 18:30:00+00:00,0.10617212361166868,0.11241177978079178,0.12294434504106644,0.054164003320321182,0.97342169299707793,0.94503098995053614,0.26994805555555562,0.37612,0.26635942527852335,0.248253
Analysis period,2006-02-03 00:00:00+00:00,2006-02-06 00:00:00+00:00
