Water level statistics
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2
PointAtkinson,5.46,5.5966472041931148,2006-02-04 17:30:00+00:00,2006-02-04 17:30:00+00:00,-0.083572977248213234,0.10464819721610173,0.129519160669573,0.012375691513630773
Victoria,3.4400000000000004,3.3984626799545286,2006-02-04 14:30:00+00:00,2006-02-04 15:30:00+00:00,-0.005255961539391011,0.075922117646280263,0.095207274678526202,0.031513773277805288
PatriciaBay,4.25,4.1805932997436521,2006-02-04 16:30:00+00:00,2006-02-04 17:30:00+00:00,-0.040675223431020341,0.090732850561422967,0.11570746254927615,0.02420312676881399
CampbellRiver,5.0999999999999996,5.2404277430572508,2006-02-04 16:30:00+00:00,2006-02-04 17:30:00+00:00,-0.011827128349607937,0.13056185201742662,0.15992675893667241,0.040741123509762861
Analysis period,2006-02-03 00:00:00+00:00,2006-02-06 00:00:00+00:00
 
Surge statistics
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2
PointAtkinson,0.82289100000000004,0.821065,2006-02-04 14:30:00+00:00,2006-02-04 20:30:00+00:00,-0.036114428071054992,0.062108183202564629,0.075843168413787895,0.064605174005098479
Victoria,0.66211149999999996,0.722731,2006-02-04 17:30:00+00:00,2006-02-04 16:30:00+00:00,-0.042700121989879283,0.061399805116077268,0.078297197530917947,0.085082928318529524
PatriciaBay,0.74053049999999976,0.750233,2006-02-04 15:30:00+00:00,2006-02-04 19:30:00+00:00,-0.055218048197322629,0.067817738814195158,0.084349655375944618,0.070390477034281196
CampbellRiver,0.94508250000000005,0.786554,2006-02-04 12:30:00+00:00,2006-02-04 17:30:00+00:00,0.0033413926261930422,0.057737892483393241,0.076610649334296663,0.078977784561097455
Analysis period,2006-02-03 00:00:00+00:00,2006-02-06 00:00:00+00:00
