Water level statistics - all_forcing
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,4.5649999999999995,4.6540085070114134,2006-12-14 20:30:00+00:00,2006-12-14 20:30:00+00:00,0.078836831018921666,0.12856611015102271,0.14959755751125897,0.02816891942729699,0.9866184269756475,0.99047032958477721,3.4521527777777781,3.5309896087966997,0.75751596352306916,0.77753595476567383
Victoria,2.9649999999999999,3.004671698478699,2006-12-15 16:30:00+00:00,2006-12-15 17:30:00+00:00,-0.0030365376361081936,0.080568766102988063,0.10472124506125444,0.045746346372364841,0.9772925817782544,0.987811959681555,2.2290277777777781,2.2259912401416693,0.4894112384687403,0.4640533581594683
PatriciaBay,3.5049999999999999,3.4799264547576905,2006-12-14 19:30:00+00:00,2006-12-15 19:30:00+00:00,0.045884998336181107,0.10210424443598755,0.12559743861382694,0.035190058673903811,0.98269897005285378,0.98927982906160949,2.6277083333333331,2.6735933316695144,0.62325085099331301,0.5939025785211286
CampbellRiver,4.2949999999999999,4.3891405178375242,2006-12-14 19:30:00+00:00,2006-12-14 20:30:00+00:00,0.031041489522376717,0.1127047318526498,0.13250609459128312,0.03427251924175008,0.98505859285973973,0.99134080107823908,3.2344444444444442,3.2654859339668212,0.69583510756039046,0.73269857192796806
Analysis period,2006-12-14 00:00:00+00:00,2006-12-17 00:00:00+00:00
 
Surge statistics - all_forcing
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,0.94397299999999951,0.699342,2006-12-15 11:30:00+00:00,2006-12-15 11:30:00+00:00,-0.0059713464743558703,0.10031213198651204,0.12683452558387076,0.27237970020646562,0.88884882006415356,0.89535940588780094,0.33603472222222197,0.330063,0.2427550520646459,0.155117
Victoria,0.73697950000000012,0.580277,2006-12-15 08:30:00+00:00,2006-12-15 07:30:00+00:00,-0.0061251942175362889,0.072180124927189657,0.090682448972420171,0.22693354233513838,0.9118583755333407,0.91629574304515649,0.30592910416666674,0.299804,0.18992446634457183,0.127279
PatriciaBay,0.85870700000000011,0.612832,2006-12-15 11:30:00+00:00,2006-12-15 10:30:00+00:00,-0.015021224438362572,0.087980949390265684,0.11400533950891763,0.25526552223327392,0.92039226151556663,0.89612382170059712,0.30767174999999991,0.292651,0.22367952831241061,0.1343
CampbellRiver,0.82283450000000014,0.626305,2006-12-15 10:30:00+00:00,2006-12-15 10:30:00+00:00,-0.0073000038478640379,0.082449300585561325,0.10474742539470107,0.23464240187589319,0.90792832622362896,0.91246395919295487,0.31146602777777788,0.304166,0.21571625733290128,0.143468
Analysis period,2006-12-14 00:00:00+00:00,2006-12-17 00:00:00+00:00
 
Water level statistics - ssh_only
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,4.5649999999999995,4.6687389605026244,2006-12-14 20:30:00+00:00,2006-12-14 20:30:00+00:00,0.048079229245037942,0.11720635815234735,0.12758238266812272,0.024337593879394322,0.98851226819178317,0.99306597459431845,3.4521527777777781,3.5002320070228157,0.75751596352306916,0.77809451737497215
Victoria,2.9649999999999999,2.9752515610733035,2006-12-15 16:30:00+00:00,2006-12-15 17:30:00+00:00,-0.0014038812967074351,0.073676115354537774,0.096153237946622866,0.038591118093127569,0.98092923052512537,0.98978323616760733,2.2290277777777781,2.2276238964810702,0.4894112384687403,0.46612078502380733
PatriciaBay,3.5049999999999999,3.5029968128204345,2006-12-14 19:30:00+00:00,2006-12-14 20:30:00+00:00,0.053903743977573346,0.10193619960739225,0.12595065353813975,0.033358818251775557,0.98390966084009124,0.98915492155176943,2.6277083333333331,2.6816120773109069,0.62325085099331301,0.58959615534354681
CampbellRiver,4.2949999999999999,4.4045945717163084,2006-12-14 19:30:00+00:00,2006-12-14 20:30:00+00:00,0.018809980579848812,0.1075220678398833,0.12571828763565682,0.031911820290571345,0.98640364389017832,0.9922340173373696,3.2344444444444442,3.2532544250242932,0.69583510756039046,0.73510246595863049
Analysis period,2006-12-14 00:00:00+00:00,2006-12-17 00:00:00+00:00
 
Surge statistics - ssh_only
Location,obs max,model max,max timing (obs),max timing (model),mean error,mean abs error,rms error,gamma2,correlation,willmott score,mean obs,mean model,std obs,std model
PointAtkinson,0.94397299999999951,0.642465,2006-12-15 11:30:00+00:00,2006-12-15 09:30:00+00:00,-0.036728946708970346,0.092057016254239538,0.12448631930611889,0.24007847436171006,0.93502410612143405,0.89531624528974441,0.33603472222222197,0.299306,0.2427550520646459,0.144893
Victoria,0.73697950000000012,0.613839,2006-12-15 08:30:00+00:00,2006-12-15 07:30:00+00:00,-0.0044925364876191864,0.063231486445864057,0.081083251995450828,0.18170430065360324,0.93368080319435398,0.93587278738561952,0.30592910416666674,0.301437,0.18992446634457183,0.133414
PatriciaBay,0.85870700000000011,0.650652,2006-12-15 11:30:00+00:00,2006-12-15 08:30:00+00:00,-0.0070024778801996701,0.084295537237472018,0.10957444335814762,0.23899498205513958,0.92161434324342739,0.90686272037773563,0.30767174999999991,0.300669,0.22367952831241061,0.139654
CampbellRiver,0.82283450000000014,0.63675,2006-12-15 10:30:00+00:00,2006-12-15 10:30:00+00:00,-0.019531512738651797,0.07861539994517959,0.098203872462516148,0.19905057312952698,0.93484206521814661,0.92352689095219487,0.31146602777777788,0.291935,0.21571625733290128,0.143385
Analysis period,2006-12-14 00:00:00+00:00,2006-12-17 00:00:00+00:00
 
